City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
447,Damaturu,NG,69.75,broken clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
448,Puerto Leguizamo,CO,73.36,moderate rain,-0.1934,-74.7819,la casona de juancho
450,Nalut,LY,59.38,clear sky,30.3333,10.85,
451,Moron,AR,75.96,clear sky,-34.6534,-58.6198,Hotel Morón
454,Abapo,BO,71.78,overcast clouds,-18.8333,-63.4667,
458,Farafangana,MG,73.35,overcast clouds,-22.8167,47.8333,Miarina
459,Palmerston North,NZ,76.05,scattered clouds,-40.35,175.6167,Distinction Coachman Hotel Palmerston North
460,Harer,ET,53.69,clear sky,9.3094,42.1258,Amir Cultural Harari Guesthouse
461,San Patricio,US,58.86,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
463,Salinas,US,62.96,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
464,Pafos,CY,56.98,clear sky,34.7667,32.4167,Elysium Hotel
465,Bambanglipuro,ID,76.37,overcast clouds,-7.95,110.2833,Puri Brata
466,Vila Franca Do Campo,PT,67.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
467,Mpika,ZM,65.35,overcast clouds,-11.8343,31.4529,Melodies Lodge
469,Biograd Na Moru,HR,56.75,light rain,43.9433,15.4519,Villa Maimare
474,Lighthouse Point,US,79.0,clear sky,26.2756,-80.0873,Residence Inn by Marriott Fort Lauderdale Pompano Beach/Oceanfront
476,Obo,CF,69.6,broken clouds,5.3998,26.4869,
478,Souillac,MU,62.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
481,Palestine,PS,54.93,few clouds,31.9216,35.2033,Grand Park Hotel
482,Hidalgotitlan,MX,77.02,light rain,17.7833,-94.6333,
485,Sangin,AF,51.71,clear sky,32.0728,64.8359,
487,Hue,VN,75.31,mist,16.4667,107.6,Saigon Morin Hotel
489,Alghero,IT,68.09,scattered clouds,40.5589,8.3181,Smy Carlos V Alghero
491,Kibre Mengist,ET,51.55,clear sky,5.8833,38.9833,kal beauty salone adola
493,Lujan,AR,74.05,scattered clouds,-34.5703,-59.105,Hotel Biarritz
494,Phalombe,MW,67.06,broken clouds,-15.8064,35.6507,RIVONIA
495,Aiken,US,56.86,mist,33.5835,-81.5998,Aiken Cottages
496,Kita,ML,79.84,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
498,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
499,Santa Maria,BR,63.66,clear sky,-29.6842,-53.8069,Hotel Morotin
501,Flinders,AU,61.05,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
502,Mormugao,IN,75.58,clear sky,15.4,73.8,Coconut Creek Resort
503,Ankazoabo,MG,71.06,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
507,Arlit,NE,67.35,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
510,Chadiza,ZM,65.39,broken clouds,-14.0678,32.4392,Sankhani Guest House
512,Orange Cove,US,60.46,clear sky,36.6244,-119.3137,
513,Miram Shah,PK,53.47,clear sky,33.0086,70.0697,Bachelor Hostel
514,Buritis,BR,71.15,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
516,Rio Grande,BR,64.6,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
517,Chanika,TZ,68.32,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
518,Bealanana,MG,61.59,overcast clouds,-14.55,48.7333,Le Delta
520,Nouadhibou,MR,72.9,clear sky,20.931,-17.0347,El Medina
523,Half Moon Bay,US,64.02,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
524,Doha,QA,78.78,clear sky,25.2867,51.5333,Mövenpick Doha
525,Vaitape,PF,79.81,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
530,Ubeda,ES,59.59,overcast clouds,38.0133,-3.3705,"Palacio del Deán Ortega, Úbeda"
531,Sakaiminato,JP,59.52,few clouds,35.55,133.2333,Italian pasley
534,Celestun,MX,78.3,few clouds,20.8667,-90.4,Posada Lilia
535,Ternate,ID,79.05,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
537,Taman,RU,51.69,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman'
541,Imbituba,BR,65.86,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
546,Terra Rica,BR,63.34,clear sky,-22.7094,-52.6169,Victor Hotel
547,Ngaoundere,CM,66.27,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
550,Araouane,ML,76.15,overcast clouds,18.9048,-3.5265,
551,Buenos Aires,AR,75.94,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
552,Galveston,US,50.09,overcast clouds,29.3669,-94.9669,Crystal Suites
556,Sao Raimundo Nonato,BR,77.68,few clouds,-9.0153,-42.6994,Real Hotel
557,Awbari,LY,59.99,overcast clouds,26.5921,12.7805,استراحة الشارب العائلي
560,Nisia Floresta,BR,77.81,clear sky,-6.0911,-35.2086,Rancho Crepusculo
561,Embonas,GR,55.83,few clouds,36.2269,27.8564,Hotel Ataviros
564,Matay,EG,60.24,clear sky,28.419,30.7792,Nag Aespen
566,Soyo,AO,76.01,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
567,Sao Borja,BR,63.95,clear sky,-28.6606,-56.0044,Hotel Executivo
568,Eyl,SO,77.43,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
572,Biltine,TD,69.98,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
573,Sidi Ali,DZ,63.09,scattered clouds,36.0998,0.4206,Khaled
575,Gat,IL,63.39,clear sky,31.61,34.7642,OlusHome
577,Curumani,CO,75.22,overcast clouds,9.1999,-73.5427,Hotel Mayumir
579,Sao Miguel Do Guama,BR,75.33,scattered clouds,-1.6267,-47.4833,Hotel Rio Guamá
580,Tautira,PF,78.3,light rain,-17.7333,-149.15,Pension Oaoa
581,Agua Verde,MX,75.29,clear sky,22.9,-106.05,
582,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
