City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Luderitz,NA,2022-11-15 17:58:47,-26.6481,15.1594,61.68,79,5,14.79
160,San Jose,US,2022-11-15 17:55:52,37.3394,-121.895,59.38,52,0,10.36
161,Abapo,BO,2022-11-15 17:58:47,-18.8333,-63.4667,85.12,34,85,4.65
162,Haines Junction,CA,2022-11-15 17:58:48,60.7522,-137.5108,31.95,93,100,3.44
163,Sampit,ID,2022-11-15 17:58:48,-2.5333,112.95,74.59,98,100,3.11
164,Lantawan,PH,2022-11-15 17:58:49,10.6167,123.9833,78.49,89,26,4.36
165,Powell River,CA,2022-11-15 17:57:41,49.8496,-124.5361,39.2,100,100,2.3
166,Deputatskiy,RU,2022-11-15 17:58:49,69.3,139.9,-31.74,99,28,4.38
167,Manokwari,ID,2022-11-15 17:58:50,-0.8667,134.0833,78.96,82,86,0.29
168,Mutare,ZW,2022-11-15 17:58:50,-18.9707,32.6709,65.79,82,91,3.0
169,Saint Anthony,US,2022-11-15 17:58:51,45.0205,-93.218,33.66,90,100,8.05
170,Mount Gambier,AU,2022-11-15 17:58:51,-37.8333,140.7667,44.31,76,86,4.61
171,Saint George,US,2022-11-15 17:57:19,37.1041,-113.5841,46.44,41,0,4.0
172,Salon-De-Provence,FR,2022-11-15 17:58:52,43.6407,5.0954,65.28,77,100,12.66
173,Upernavik,GL,2022-11-15 17:58:52,72.7868,-56.1549,18.75,88,100,11.16
174,Lagoa,PT,2022-11-15 17:58:53,39.05,-27.9833,63.9,88,36,24.16
175,Mezen,RU,2022-11-15 17:58:53,65.8522,44.24,24.26,93,77,7.16
176,Faya,SA,2022-11-15 17:58:54,18.3851,42.4509,60.91,80,15,4.54
177,Cockburn Town,TC,2022-11-15 17:59:50,21.4612,-71.1419,84.16,70,40,11.5
178,Ust-Nera,RU,2022-11-15 17:59:55,64.5667,143.2,-5.53,99,100,4.27
179,Mehamn,NO,2022-11-15 17:59:55,71.0357,27.8492,40.95,75,75,20.71
180,Vaitape,PF,2022-11-15 17:59:56,-16.5167,-151.75,78.04,78,99,0.94
181,Marystown,CA,2022-11-15 17:59:56,47.1666,-55.1483,39.81,61,40,15.93
182,Rurrenabaque,BO,2022-11-15 17:59:57,-14.4413,-67.5278,87.49,69,75,11.5
183,Caucaia,BR,2022-11-15 17:59:57,-3.7361,-38.6531,89.31,68,0,14.97
184,La Ronge,CA,2022-11-15 17:59:58,55.1001,-105.2842,23.25,80,100,4.61
185,Ridgecrest,US,2022-11-15 17:59:58,35.6225,-117.6709,55.02,31,0,4.0
186,Coari,BR,2022-11-15 17:59:59,-4.085,-63.1414,84.2,75,96,3.09
187,Ahipara,NZ,2022-11-15 18:00:00,-35.1667,173.1667,62.1,93,63,3.36
188,Nelson Bay,AU,2022-11-15 18:00:00,-32.7167,152.15,62.11,60,80,11.99
189,Husavik,IS,2022-11-15 18:00:01,66.0449,-17.3389,43.57,91,100,9.17
190,Saskylakh,RU,2022-11-15 18:00:02,71.9167,114.0833,-8.52,96,100,6.31
191,Irbeyskoye,RU,2022-11-15 18:00:04,55.6428,95.4522,39.94,62,97,17.22
192,Cherskiy,RU,2022-11-15 18:00:05,68.75,161.3,-22.83,98,41,8.16
